X,Y,RoadIntersectionID,IntersectionName,LocalityName,CreateDate,LastEditDate
1553551.7889,5181879.3068,1,Chattertons Road / Kettlewell Drive,Yaldhurst,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1553764.4887,5183430.4592,2,Chattertons Road / Old West Coast Road,Yaldhurst,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1553911.5585,5181188.0763,3,West Coast Road / Chattertons Road / Dawsons Road,Templeton,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1554632.6636,5187002.4365,4,McLeans Island Road / Chattertons Road,Harewood,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1554755.8309,5179583.7171,5,Dawsons Road / Newtons Road,Templeton,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1555038.0354,5183104.2847,6,Old West Coast Road / Miners Road,Yaldhurst,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1555218.6482,5182326.2648,7,Miners Road / Kettlewell Drive,Yaldhurst,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1555419.6637,5181480.8476,8,West Coast Road / Kirk Road / Miners Road,Yaldhurst,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1555510.1198,5184934.9096,9,Miners Road / School Road,Yaldhurst,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1555518.2191,5178133.5575,10,Dawsons Road / Maddisons Road,Templeton,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1555547.7935,5180000.2614,11,Newtons Road / Tom Fitzgerald Drive,Templeton,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1556057.492,5180269.4515,12,Kirk Road / Newtons Road,Templeton,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1556207.0562,5176821.6438,13,Dawsons Road / Jones Road,Templeton,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1556777.019,5177418.1808,14,Globe Bay Drive / Micron Close,Templeton,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
1556778.7198,5178546.6046,15,Maddisons Road / Azalea Close,Templeton,2025/04/30 06:12:34+00,2025/04/30 06:12:34+00
