flow_id,example_vehicle_id,edge_count,from_edge,to_edge,sumo_edges
I2554_I2610__59_17_00_Bear_Left_bus,I2554_I2610__59_17_00_Bear_Left_bus.0,44,1069206897#0,4891423,1069206897#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2554_I2610__59_17_15_Bear_Left_bus,I2554_I2610__59_17_15_Bear_Left_bus.0,44,1069206897#0,4891423,1069206897#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2554_I2610__59_17_30_Bear_Left_bus,I2554_I2610__59_17_30_Bear_Left_bus.0,44,1069206897#0,4891423,1069206897#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2554_I2610__59_17_45_Bear_Left_bus,I2554_I2610__59_17_45_Bear_Left_bus.0,44,1069206897#0,4891423,1069206897#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2611_I2610__22_16_15_Right_bus,I2611_I2610__22_16_15_Right_bus.0,48,1015757969#0,4891423,1015757969#0 1026983480#1 1015756825#0 777634273#1 1015754936#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2611_I2610__22_16_45_Right_bus,I2611_I2610__22_16_45_Right_bus.0,48,1015757969#0,4891423,1015757969#0 1026983480#1 1015756825#0 777634273#1 1015754936#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2611_I2610__22_17_00_Right_bus,I2611_I2610__22_17_00_Right_bus.0,48,1015757969#0,4891423,1015757969#0 1026983480#1 1015756825#0 777634273#1 1015754936#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2611_I2610__22_17_15_Right_bus,I2611_I2610__22_17_15_Right_bus.0,48,1015757969#0,4891423,1015757969#0 1026983480#1 1015756825#0 777634273#1 1015754936#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2611_I2610__22_17_30_Right_bus,I2611_I2610__22_17_30_Right_bus.0,48,1015757969#0,4891423,1015757969#0 1026983480#1 1015756825#0 777634273#1 1015754936#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 194715885 384497887#1 1056154546#0 194716060#1 1368153906#0 4891423
I2629_I2731__20_07_00_Thru_bus,I2629_I2731__20_07_00_Thru_bus.0,53,1015757969#0,139811056#1,1015757969#0 1026983480#1 1015756825#0 777634273#1 1015754936#0 139810524#1 1015753884 103086816#0 103086816#1 1018478676#0 1018478676#1 -1018478675#1 -1018478675#0 -114915928 -770109403#2 -1056138896#0 -436515354 -1056138897#1 -571961656#0 571961655#0 571961655#1 571961655#2 -436514739#2 -436514739#1 -436514739#0 -1228958071 -1015728523 -369800173#0 392044395 369800174 508372189 508372186 369800173#0 1015728523 1228958071 436514739#0 436514739#1 436514739#2 436515355#0 436515355#1 -1235089649 1189761076#2 1235089650 335813776#3 823329197#0 770109403#2 114915928 1018478675#0 1018478675#1 103086818 182824587#0 182824587#1 139811056#1
