"intersection_id","latitude","longitude","street_1","street_2","street_3","street_4","survey_date","period","time","movement_index","approach_header_1","approach_header_2","approach_bound","movement","destination_id","destination_latitude","destination_longitude","lights","other_vehicles","bicycles_on_road","bicycles_crosswalk","totals"
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",2,"Manchester St Southbound","Southbound","Southbound","Left","I3210",-43.53420485,172.6426626,1,0,0,0,1
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",4,"Manchester St Southbound","Southbound","Southbound","Thru","I3100",-43.53312209,172.6396965,23,0,0,0,24
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",6,"Manchester St Southbound","Southbound","Southbound","Right","I2967",-43.53423421,172.6366342,6,0,1,0,12
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",18,"Lichfield St Westbound","Westbound","Westbound","Left","I3104",-43.53530046,172.6396664,1,0,0,0,1
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",20,"Lichfield St Westbound","Westbound","Westbound","Thru","I3210",-43.53420485,172.6426626,2,0,0,0,2
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",25,"High St Westbound","Northwestbound","Northwestbound","Hard Left","I3104",-43.53530046,172.6396664,0,0,0,0,1
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",27,"High St Westbound","Northwestbound","Northwestbound","Bear Left","I2967",-43.53423421,172.6366342,0,0,1,0,1
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",28,"High St Westbound","Northwestbound","Northwestbound","Thru","I3154",-43.53529913,172.6411582,0,0,1,0,1
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",31,"High St Westbound","Northwestbound","Northwestbound","Hard Right","I3210",-43.53420485,172.6426626,0,0,1,0,2
"I3105",-43.53421612,172.6396445,"High","Lichfield","Manchester","","2022-05-31","AM","06:30",34,"Manchester St Northbound","Northbound","Northbound","Left","I2967",-43.53423421,172.6366342,0,0,0,0,2
