intersection_id,latitude,longitude,street_1,street_2,street_3,street_4,RoadIntersectionID,X,Y,IntersectionName
I2537,-43.52091222,172.62595130,Bealey,Carlton Mill,Harper,Park,3456,1569770.712,5181268.1951,Bealey Avenue / Park Terrace / Carlton Mill Road / Harper Avenue
I2554,-43.53500057,172.62622864,Hagley,Oxford,Riccarton,Tuam,3477,1569800.1553,5179703.6613,Hagley Avenue / Tuam Street / Oxford Terrace / Riccarton Avenue
I2605,-43.52878891,172.62760420,Armagh,Hagley Park,Park,Rolleston,3530,1569908.2087,5180394.0196,Armagh Street / Park Terrace / Rolleston Avenue
I2606,-43.53094922,172.62758316,Rolleston,Worcester,,,3529,1569907.5827,5180154.0903,Worcester Street / Rolleston Avenue
I2610,-43.53532067,172.62760361,Antigua,Tuam,,,3533,1569911.4089,5179668.61,Tuam Street / Antigua Street
I2611,-43.53641192,172.62760042,Antigua,St Asaph,,,3534,1569911.6931,5179547.4157,St Asaph Street / Antigua Street
I2621,,,Hagley,Park,Salisbury,,,,,
I2629,-43.53995720,172.62791609,Antigua,Moorhouse,,,3548,1569938.9596,5179153.7953,Moorhouse Avenue / Antigua Street
I2632,-43.52088281,172.62806039,Bealey,Papanui,Victoria,,3552,1569941.1467,5181272.2254,Papanui Road / Bealey Avenue / Victoria Street
I2712,-43.52087556,172.63057641,Bealey,Montreal,,,3649,1570144.4785,5181273.9367,Montreal Street / Bealey Avenue
I2715,-43.52441001,172.63059074,Montreal,Salisbury,Victoria,,3652,1570147.3799,5180881.4101,Montreal Street / Salisbury Street / Victoria Street
I2716,-43.52986245,172.63059266,Gloucester,Montreal,,,3654,1570150.2238,5180275.8706,Gloucester Street / Montreal Street
I2718,-43.53094333,172.63059508,Montreal,Worcester,,,3655,1570150.9521,5180155.8305,Worcester Street / Montreal Street
I2719,-43.53204250,172.63060076,Hereford,Montreal,,,3656,1570151.9534,5180033.7596,Hereford Street / Montreal Street
I2727,-43.53640576,172.63061312,Montreal,St Asaph,,,3666,1570155.1036,5179549.1852,St Asaph Street / Montreal Street
I2728,-43.53531525,172.63061088,Montreal,Tuam,,,3662,1570154.3855,5179670.2958,Tuam Street / Montreal Street
I2731,-43.53995315,172.63060730,Montreal,Moorhouse,,,3671,1570156.3832,5179155.214,Moorhouse Avenue / Montreal Street
I2754,,,Cranmer,Kilmore,Montreal,,,,,
I2755,,,Armagh,Cranmer,Montreal,,,,,
I2814,-43.53094168,172.63285485,Cambridge,Worcester,,,3769,1570333.5479,5180156.8215,Worcester Street / Cambridge Terrace
I2815,-43.53203957,172.63286717,Cambridge,Hereford,,,3772,1570335.0815,5180034.896,Hereford Street / Cambridge Terrace
I2832,-43.52986068,172.63347674,Cambridge,Durham North,Gloucester,,3793,1570383.2696,5180277.0983,Gloucester Street / Durham Street North / Cambridge Terrace
I2836,-43.52087516,172.63358966,Bealey,Durham North,,,3799,1570387.9995,5181275.0573,Durham Street North / Bealey Avenue
I2840,-43.52440363,172.63358490,Durham North,Salisbury,,,3804,1570389.3404,5180883.1894,Durham Street North / Salisbury Street
I2843,-43.53421802,172.63351200,Cambridge,Durham South,Lichfield,Oxford,3800,1570388.2509,5179793.1891,Oxford Terrace / Lichfield Street / Durham Street South
I2848,-43.52658813,172.63359954,Durham North,Kilmore,Victoria,,3809,1570391.5918,5180640.5864,Durham Street North / Kilmore Street / Victoria Street
I2849,-43.52876955,172.63360431,Armagh,Durham North,,,3812,1570393.0443,5180398.3224,Armagh Street / Durham Street North
I2850,-43.53530814,172.63362309,Durham South,Tuam,,,3813,1570397.7602,5179672.1616,Tuam Street / Durham Street South
I2853,-43.53639852,172.63363112,Durham South,St Asaph,,,3826,1570398.9425,5179551.068,St Asaph Street / Durham Street South
I2859,-43.53995081,172.63360905,Durham South,Moorhouse,,,3822,1570398.8971,5179156.5462,Moorhouse Avenue / Durham Street South
I2874,-43.53203780,172.63382816,Hereford,Oxford,,,3841,1570412.73,5180035.4341,Hereford Street / Oxford Terrace
I2906,-43.52876568,172.63502608,Armagh,Oxford,,,3886,1570507.9302,5180399.258,Armagh Street / Oxford Terrace
I2953,-43.52087953,172.63660050,Bealey,Colombo,,,3943,1570631.3269,5181275.6391,Colombo Street / Bealey Avenue
I2956,-43.52440344,172.63660362,Colombo,Salisbury,,,3946,1570633.2882,5180884.2802,Colombo Street / Salisbury Street
I2957,-43.52550414,172.63660872,Colombo,Peterborough,,,3947,1570634.2348,5180762.0398,Colombo Street / Peterborough Street
I2958,-43.52658421,172.63661116,Colombo,Kilmore,,,3948,1570634.956,5180642.0892,Colombo Street / Kilmore Street
I2959,-43.52876151,172.63661592,Armagh,Colombo,,,3953,1570636.3968,5180400.283,Colombo Street / Armagh Street
I2961,-43.52985240,172.63662311,Colombo,Gloucester,,,3955,1570637.5067,5180279.1326,Colombo Street / Gloucester Street
I2963,-43.53203522,172.63662486,Cathedral,Colombo,Hereford,High,3956,1570638.7074,5180036.7122,Colombo Street / Hereford Street / High Street
I2966,-43.53312891,172.63662425,Cashel,Colombo,,,3957,1570639.1883,5179915.2479,Colombo Street / Cashel Street
I2967,-43.53423421,172.63663422,Colombo,Lichfield,,,3961,1570640.5304,5179792.4979,Colombo Street / Lichfield Street
I2968,-43.53530451,172.63663698,Colombo,Tuam,,,3963,1570641.2726,5179673.6328,Colombo Street / Tuam Street
I2970,-43.53639567,172.63663888,Colombo,St Asaph,,,3965,1570641.9555,5179552.4508,Colombo Street / St Asaph Street
I2976,-43.53993495,172.63665203,Colombo,Moorhouse,,,3971,1570644.7348,5179159.3867,Colombo Street / Moorhouse Avenue
I3043,-43.52087534,172.63808853,Bealey,Sherborne,,,4042,1570751.5827,5181276.629,Bealey Avenue / Sherborne Street
I3063,-43.52875993,172.63870306,Armagh,New Regent,,,4070,1570805.0493,5180401.1936,Armagh Street / New Regent Street
I3064,-43.52984975,172.63870100,Gloucester,New Regent,,,4071,1570805.4087,5180280.1585,Gloucester Street / New Regent Street
I3088,-43.52087422,172.63962245,Bealey,Manchester,,,4101,1570875.5484,5181277.2918,Manchester Street / Bealey Avenue
I3093,-43.52657835,172.63962638,Kilmore,Manchester,,,4106,1570878.6093,5180643.7997,Manchester Street / Kilmore Street
I3096,-43.52875962,172.63967710,Armagh,Manchester,,,4111,1570883.7573,5180401.5685,Manchester Street / Armagh Street
I3097,-43.53094468,172.63968340,Manchester,Worcester,,,4116,1570885.3174,5180158.9011,Worcester Street / Manchester Street
I3098,-43.52985171,172.63968430,Gloucester,Manchester,,,4114,1570884.8644,5180280.2851,Gloucester Street / Manchester Street
I3100,-43.53312209,172.63969647,Cashel,Manchester,,,4126,1570887.4212,5179917.0851,Cashel Street / Manchester Street
I3104,-43.53530046,172.63966638,Manchester,Tuam,,,4119,1570886.0377,5179675.1478,Manchester Street / Tuam Street
I3105,-43.53421612,172.63964454,High,Lichfield,Manchester,,4110,1570883.7511,5179795.5655,Manchester Street / High Street / Lichfield Street
I3107,-43.53639221,172.63965699,Manchester,St Asaph,,,4118,1570885.8041,5179553.8959,Manchester Street / St Asaph Street
I3112,-43.53992779,172.63964455,Manchester,Moorhouse,Pilgrim,,4123,1570886.5008,5179161.234,Moorhouse Avenue / Manchester Street / Pilgrim Place
I3154,-43.53529913,172.64115822,High,Tuam,,,4183,1571006.574,5179675.8166,Tuam Street / High Street
I3171,-43.53094829,172.64202904,Latimer,Worcester,,,4203,1571074.854,5180159.318,Worcester Street / Latimer Square
I3171,-43.53093246,172.64329451,Latimer,Worcester,,,4284,1571177.1006,5180161.5154,Worcester Street / Latimer Square
