intersection_id,longitude,latitude,net_x,net_y,nearest_edge,enter_edge,exit_edge,nearest_lane,dist_m,to_junction,candidates
I2537,172.6259513,-43.52091222,426.374,2230.328,4890669,646361141,4890669,4890669_0,0.475,cluster_1166225202_31064449_31149784_31149853_#2more,4890669:0.47m;4890669:0.89m;646361141:3.24m;646361141:4.58m;646361141:5.69m;24721880#1:7.49m;24721880#1:8.11m;1476693652:8.53m
I2554,172.6262286,-43.53500057,418.191,665.224,23151049#1,23151049#1,-54895409#0,23151049#1_1,0.473,cluster_11178603759_11178603760_11178603761_1166224721_#5more,23151049#1:0.47m;23151049#1:0.78m;41646975:1.36m;22779530#0:2.12m;22779530#0:2.12m;22779530#0:2.12m;-479999311#0:2.12m;479999311#0:2.12m
I2605,172.6276042,-43.52878891,542.84,1352.923,1154439732,1154439732,-24721896#0,1154439732_0,0.013,cluster_1166224718_1166224893_1166225949_31064372,1154439732:0.01m;-24721896#0:0.09m;-337504030:0.29m;1373281309:0.32m;-13061690#0:0.33m;-988781906:0.33m;-180763923:0.33m;180763923:0.33m
I2606,172.6275832,-43.53094922,536.448,1113.03,-147247811,-24721896#0,1154439732,-147247811_0,1.72,cluster_10931027728_13277203696,-147247811:1.72m;147247811:2.3m;1176507584#1:2.32m;-1176507584#1:2.32m;32050428#0:2.32m;-337504027#1:118.35m;-24721896#0:119.37m;1154439732:119.37m
I2610,172.6276036,-43.53532067,528.595,627.5,984247262#2,926384058#0,984247262#2,984247262#2_1,0.841,cluster_11178603759_11178603760_11178603761_1166224721_#5more,984247262#2:0.84m;984247262#2:1.44m;-926384058#0:1.66m;926384058#0:2.04m;23151049#1:2.48m;23151049#1:2.48m;-54895409#0:2.48m;54895409#0:2.48m
I2611,172.6276004,-43.53641192,525.964,506.309,1015728533#1,114501117,1015728533#1,1015728533#1_0,0.218,cluster_10993270282_10993270283_10993270284_1166224842_#6more,1015728533#1:0.22m;1015728533#1:0.66m;114501117:1.86m;27166907#2:1.87m;27166907#2:1.97m;-981887619#0:1.97m;1015728534#0:2.0m;1015728534#0:2.0m
I2621,172.6278364,-43.52441254,571.117,1838.599,180762458,235409006,114648693#1,180762458_0,2.742,cluster_31799513_7194237353_7194237372_7194237373_#3more,180762458:2.74m;1025115106:3.94m;235409004:8.21m;-1025115107:14.76m;1025115107:14.76m;-1025115107:14.76m;1025115107:14.76m;1025115104:25.15m
I2629,172.6279161,-43.5399572,543.763,112.067,777634272#1,1015756825#0,777634272#1,777634272#1_0,0.237,cluster_1166224952_1166224966_1166225933_1166226029_#4more,777634272#1:0.24m;961036241:0.35m;777634272#1:0.42m;961036241:0.52m;777634272#1:0.65m;-961036239#0:0.67m;1015756825#0:0.99m;1015756826#0:1.05m
I2632,172.6280604,-43.52088281,596.892,2230.26,689754259#1,235540908#1,103089507#0,689754259#1_0,0.758,cluster_31104856_cluster_1093722421_4948662314,689754259#1:0.76m;-689754259#1:1.05m;103089507#0:1.61m;1255161077#1:1.63m;103089507#0:1.82m;1255161077#1:1.83m;1255161077#1:2.02m;103089507#0:2.06m
I2712,172.6305764,-43.52087556,800.246,2227.082,194728917,194728917,829459009#1,194728917_2,0.053,cluster_31104858_31796226_6202656945_6202656946_#2more,194728917:0.05m;194728917:0.93m;194728917:1.59m;829459009#1:4.21m;829459009#1:5.19m;829459009#1:5.74m;114648655#1:5.99m;114648655#1:6.05m
